,body_bytes_sent,request_length,request_time,upstream_response_time,network_receive_bytes_per_second,network_transmit_bytes_per_second,DELETE,GET,POST,PUT,available_request,error_request,HTTP/1.0,HTTP/1.1,valid_user_agent,supicious_user_agent,cluster_kmeans
0,89,287,0.012,0.012,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
1,8500,150,0.009,0.009,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
2,8500,150,0.013,0.012,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
3,8499,150,0.008,0.007,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
4,8500,150,0.009,0.009,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
5,85,283,0.021,0.02,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
6,2,209,0.008,0.009,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
7,8407,150,0.008,0.009,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
8,97,295,0.01,0.01,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
9,8408,150,0.008,0.007,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
10,8408,150,0.008,0.007,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
11,2,209,0.012,0.012,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
12,8318,150,0.011,0.012,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
13,97,295,0.01,0.01,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
14,88,230,0.011,0.011,486185.12,697731.0399999999,0,0,1,0,1,0,0,1,0,1,normal
15,8406,150,0.008,0.007,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
16,8406,150,0.007,0.007,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
17,88,286,0.011,0.011,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
18,8405,150,0.008,0.008,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
19,85,283,0.011,0.011,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
20,8404,150,0.008,0.008,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
21,2,209,0.008,0.009,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
22,102,244,0.011,0.011,486185.12,697731.0399999999,0,0,1,0,1,0,0,1,0,1,normal
23,8419,150,0.007,0.007,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
24,100,242,0.011,0.011,486185.12,697731.0399999999,0,0,1,0,1,0,0,1,0,1,normal
25,8520,150,0.008,0.007,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
26,8520,150,0.007,0.007,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
27,2,209,0.008,0.008,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
28,8430,150,0.006,0.007,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
29,100,298,0.011,0.012,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
30,8431,150,0.01,0.011,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
31,2,209,0.009,0.008,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
32,88,230,0.01,0.011,486185.12,697731.0399999999,0,0,1,0,1,0,0,1,0,1,normal
33,8430,150,0.009,0.008,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
34,2,209,0.008,0.009,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
